Index,Red,Green,Blue
0 0.18995 0.07176 0.23217
1 0.19483 0.08339 0.26149
2 0.19956 0.09498 0.29024
3 0.20415 0.10652 0.31844
4 0.2086 0.11802 0.34607
5 0.21291 0.12947 0.37314
6 0.21708 0.14087 0.39964
7 0.22111 0.15223 0.42558
8 0.225 0.16354 0.45096
9 0.22875 0.17481 0.47578
10 0.23236 0.18603 0.50004
11 0.23582 0.1972 0.52373
12 0.23915 0.20833 0.54686
13 0.24234 0.21941 0.56942
14 0.24539 0.23044 0.59142
15 0.2483 0.24143 0.61286
16 0.25107 0.25237 0.63374
17 0.25369 0.26327 0.65406
18 0.25618 0.27412 0.67381
19 0.25853 0.28492 0.693
20 0.26074 0.29568 0.71162
21 0.2628 0.30639 0.72968
22 0.26473 0.31706 0.74718
23 0.26652 0.32768 0.76412
24 0.26816 0.33825 0.7805
25 0.26967 0.34878 0.79631
26 0.27103 0.35926 0.81156
27 0.27226 0.3697 0.82624
28 0.27334 0.38008 0.84037
29 0.27429 0.39043 0.85393
30 0.27509 0.40072 0.86692
31 0.27576 0.41097 0.87936
32 0.27628 0.42118 0.89123
33 0.27667 0.43134 0.90254
34 0.27691 0.44145 0.91328
35 0.27701 0.45152 0.92347
36 0.27698 0.46153 0.93309
37 0.2768 0.47151 0.94214
38 0.27648 0.48144 0.95064
39 0.27603 0.49132 0.95857
40 0.27543 0.50115 0.96594
41 0.27469 0.51094 0.97275
42 0.27381 0.52069 0.97899
43 0.27273 0.5304 0.98461
44 0.27106 0.54015 0.9893
45 0.26878 0.54995 0.99303
46 0.26592 0.55979 0.99583
47 0.26252 0.56967 0.99773
48 0.25862 0.57958 0.99876
49 0.25425 0.5895 0.99896
50 0.24946 0.59943 0.99835
51 0.24427 0.60937 0.99697
52 0.23874 0.61931 0.99485
53 0.23288 0.62923 0.99202
54 0.22676 0.63913 0.98851
55 0.22039 0.64901 0.98436
56 0.21382 0.65886 0.97959
57 0.20708 0.66866 0.97423
58 0.20021 0.67842 0.96833
59 0.19326 0.68812 0.9619
60 0.18625 0.69775 0.95498
61 0.17923 0.70732 0.94761
62 0.17223 0.7168 0.93981
63 0.16529 0.7262 0.93161
64 0.15844 0.73551 0.92305
65 0.15173 0.74472 0.91416
66 0.14519 0.75381 0.90496
